2026-03-25 15:06:11,601 | INFO | safe_load_to_sql | Успешно загружено: banking.tmp_terminals
2026-03-25 15:06:11,612 | INFO | move_to_archive | Файл перемещен в архив: archive\terminals_02032021.xlsx.backup
2026-03-25 15:06:11,643 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,650 | INFO | create_new_rows | banking.tmp_terminals_new_rows создана успешно
2026-03-25 15:06:11,650 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,683 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,690 | INFO | create_deleted_rows | banking.tmp_terminals_deleted_rows создана успешно
2026-03-25 15:06:11,690 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,721 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,728 | INFO | create_updated_rows | banking.tmp_terminals_updated_rows создана успешно
2026-03-25 15:06:11,728 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,868 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,878 | INFO | update_table_hist |  В banking.terminals_hist добавлены строчки
2026-03-25 15:06:11,878 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:11,911 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:11,912 | INFO | create_scd1_structure | SCD1 структура для transactions создана успешно
2026-03-25 15:06:11,912 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:12,361 | INFO | safe_load_to_sql | Успешно загружено: banking.tmp_transactions
2026-03-25 15:06:12,372 | INFO | move_to_archive | Файл перемещен в архив: archive\transactions_02032021.txt.backup
2026-03-25 15:06:12,404 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:12,461 | INFO | transfer_data_to_main_table | Перенесено 15686 строк из tmp_transactions в transactions
2026-03-25 15:06:12,461 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:12,492 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:12,641 | INFO | sql2sql | Файл fraud_report.sql успешно выполнен
2026-03-25 15:06:12,642 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:12,671 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:12,699 | INFO | drop_tmp_tables | Таблицы tmp_ успешно удалены
2026-03-25 15:06:12,700 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:12,731 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:12,750 | INFO | create_scd2_structure | SCD2 структура для passport_blacklist создана успешно
2026-03-25 15:06:12,750 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:12,805 | INFO | safe_load_to_sql | Успешно загружено: banking.tmp_passport_blacklist
2026-03-25 15:06:12,815 | INFO | move_to_archive | Файл перемещен в архив: archive\passport_blacklist_03032021.xlsx.backup
2026-03-25 15:06:12,958 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:12,963 | INFO | create_new_rows | banking.tmp_passport_blacklist_new_rows создана успешно
2026-03-25 15:06:12,964 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:12,996 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,001 | INFO | create_deleted_rows | banking.tmp_passport_blacklist_deleted_rows создана успешно
2026-03-25 15:06:13,001 | INFO | close_connection_postgres | Соединение с БД закрыто
2026-03-25 15:06:13,145 | INFO | connection_postgres | Вы подключились к: ('PostgreSQL 18.1 on x86_64-windows, compiled by msvc-19.44.35221, 64-bit',) 
2026-03-25 15:06:13,152 | INFO | create_updated_rows | banking.tmp_passport_blacklist_updated_rows создана успешно
2026-03-25 15:06:13,152 | INFO | close_connection_postgres | Соединение с БД закрыто
